meanPrice, var, nbSimul
3.60769,37.3281,1000
3.65219,36.683,1500
3.74964,39.5577,2000
3.60298,37.8663,2500
3.89342,43.1016,3000
3.65467,38.282,3500
3.65951,37.2435,4000
3.55185,37.5595,4500
3.66128,36.9812,5000
3.7085,40.7367,5500
3.74993,40.2904,6000
3.60006,36.9437,6500
3.61547,37.0216,7000
3.72235,40.3131,7500
3.67789,38.5535,8000
3.76411,40.6991,8500
3.71376,39.5429,9000
3.74355,38.9499,9500
3.59136,36.7132,10000
3.66373,38.1451,10500
3.68923,40.3344,11000
3.70276,39.0272,11500
3.58054,36.5009,12000
3.62779,37.7748,12500
3.67385,38.7539,13000
3.65115,38.5147,13500
3.66234,38.9106,14000
3.70907,39.6362,14500
3.70173,39.401,15000
3.70276,39.7394,15500
3.70965,39.3026,16000
3.64784,38.1488,16500
3.67144,38.6142,17000
3.67042,38.5126,17500
3.65314,37.965,18000
3.68471,39.1367,18500
3.70369,38.1218,19000
3.67217,38.6102,19500
3.66161,38.0592,20000
3.72079,39.6521,20500
3.64684,37.6746,21000
3.65,38.0493,21500
3.61266,36.864,22000
3.68136,38.4256,22500
3.61273,37.3205,23000
3.65781,37.7756,23500
3.6777,38.4757,24000
3.66233,38.5604,24500
3.64965,37.9327,25000
