meanPrice, var, nbSimul
3.17843,16.6319,1000
3.14894,16.0206,1500
3.29242,17.6263,2000
3.09035,15.2479,2500
3.40126,24.5716,3000
3.15196,16.7973,3500
3.2269,17.2727,4000
3.10786,16.6174,4500
3.16009,16.542,5000
3.29917,22.9342,5500
3.20742,18.2298,6000
3.1529,17.7791,6500
3.18002,18.8001,7000
3.32878,23.0166,7500
3.29126,20.7121,8000
3.28498,19.3247,8500
3.26661,19.5538,9000
3.30001,20.3545,9500
3.21048,19.4338,10000
3.26214,19.7568,10500
3.23261,20.9951,11000
3.18148,17.2764,11500
3.1886,18.4123,12000
3.1876,18.0086,12500
3.24946,19.0861,13000
3.24178,20.5891,13500
3.25034,20.5227,14000
3.31439,22.6661,14500
3.27464,20.314,15000
3.24755,19.7902,15500
3.313,21.5842,16000
3.2454,20.0437,16500
3.26585,20.6497,17000
3.26451,19.6251,17500
3.24588,20.02,18000
3.28708,20.8187,18500
3.21559,17.8693,19000
3.19972,18.2856,19500
3.27877,21.0629,20000
3.29491,21.1254,20500
3.18331,18.4446,21000
3.21279,18.2765,21500
3.21328,18.6967,22000
3.23824,19.7368,22500
3.21695,19.0171,23000
3.22936,19.1186,23500
3.25369,19.3659,24000
3.22705,19.3836,24500
3.22927,19.307,25000
