meanPrice, var, nbSimul
3.3112,17.217,1000
3.11065,16.8516,1500
3.19932,23.1172,2000
3.29938,17.0088,2500
3.17281,16.5568,3000
3.18624,15.9153,3500
3.29937,21.1009,4000
3.231,20.6322,4500
3.20527,17.7144,5000
3.41482,22.7004,5500
3.33451,21.7867,6000
3.28292,19.7258,6500
3.29044,19.404,7000
3.27616,20.3848,7500
3.27824,19.7596,8000
3.24641,20.0606,8500
3.04591,15.9123,9000
3.17189,18.1327,9500
3.19286,19.946,10000
3.28067,21.5112,10500
3.31628,20.0613,11000
3.3568,23.0536,11500
3.21395,19.0781,12000
3.26403,20.1383,12500
3.2436,19.5711,13000
3.27147,18.0085,13500
3.20102,20.3746,14000
3.25012,19.3198,14500
3.2464,19.0612,15000
3.15438,17.7083,15500
3.29269,19.0083,16000
3.23311,19.9845,16500
3.192,17.6902,17000
3.25156,19.539,17500
3.28145,19.9585,18000
3.21522,20.6238,18500
3.28785,19.6182,19000
3.23622,19.7111,19500
3.17697,18.5252,20000
3.20987,18.9059,20500
3.10951,16.6266,21000
3.23419,19.4484,21500
3.20176,18.6359,22000
3.18863,17.5192,22500
3.22447,18.0096,23000
3.20124,19.6844,23500
3.18323,18.1733,24000
3.26174,19.1069,24500
3.2529,18.776,25000
