meanPrice, var, nbSimul
3.16456,18.6677,1000
3.17805,18.6722,1500
3.132,17.6934,2000
3.26243,19.2595,2500
3.2634,19.5337,3000
3.24014,18.6264,3500
3.21642,18.6958,4000
3.22595,17.8828,4500
3.18246,17.393,5000
3.17686,17.8031,5500
3.16598,17.3118,6000
3.17525,17.5066,6500
3.17764,17.991,7000
3.21246,19.3904,7500
3.19264,18.1979,8000
3.1998,18.2914,8500
3.21311,18.5906,9000
3.21326,18.4784,9500
3.18998,18.3006,10000
3.20697,18.3069,10500
3.20619,18.287,11000
3.21166,18.3229,11500
3.1895,18.1295,12000
3.21184,18.4952,12500
