meanPrice, var, nbSimul
3.01124,18.9743,1000
3.2107,17.2738,1500
3.15955,13.2079,2000
3.09304,18.0573,2500
3.20784,17.7569,3000
3.24118,16.4681,3500
3.23511,15.6005,4000
3.09172,15.3905,4500
3.15456,17.0479,5000
3.24731,14.6003,5500
3.18313,15.7746,6000
3.21907,15.2952,6500
3.20386,15.5842,7000
3.28474,15.7158,7500
3.21451,15.6363,8000
3.2354,14.2758,8500
3.07509,17.3029,9000
3.15399,16.1109,9500
3.2027,15.0504,10000
3.24577,14.7207,10500
3.11984,16.7194,11000
3.23609,13.8689,11500
3.23188,15.4247,12000
3.20816,15.1715,12500
3.24224,15.5702,13000
3.17619,16.1769,13500
3.2044,14.8723,14000
3.16235,16.1646,14500
3.20972,15.3514,15000
3.13923,15.712,15500
3.20375,16.2349,16000
3.21973,14.8389,16500
3.18326,16.2841,17000
3.18936,15.5477,17500
3.25759,15.3468,18000
3.18426,14.9264,18500
3.19638,15.7179,19000
3.12262,15.5308,19500
3.19931,15.6871,20000
3.15896,15.9896,20500
3.1753,16.0865,21000
3.19668,15.2985,21500
3.17949,16.0766,22000
3.1665,16.7472,22500
3.16094,16.5957,23000
3.19371,15.5685,23500
3.19917,16.2591,24000
3.16454,16.3292,24500
3.14578,16.3642,25000
