meanPrice, var, nbSimul
3.66798,35.6698,1000
3.59223,35.2812,1500
3.60612,35.6464,2000
3.72396,37.5384,2500
3.68123,36.9166,3000
3.65773,36.7745,3500
3.6937,37.654,4000
3.73007,38.7955,4500
3.71803,38.4482,5000
3.72235,38.4339,5500
3.73602,38.7577,6000
3.70066,38.3754,6500
3.7056,38.4338,7000
3.70792,38.3147,7500
3.72717,38.7524,8000
3.72569,38.7434,8500
3.74408,39.031,9000
3.7379,38.7887,9500
3.71612,38.4637,10000
3.72111,38.4467,10500
3.72515,38.7822,11000
3.71789,38.9124,11500
3.71813,39.0355,12000
3.71433,39.2417,12500
