meanPrice, var, nbSimul
3.38433,31.6375,1000
3.60698,35.6744,2000
3.69762,36.6226,3000
3.67906,36.7805,4000
3.66279,37.1711,5000
3.65369,37.0226,6000
3.65663,37.111,7000
3.6576,37.1465,8000
3.66092,37.7136,9000
3.64349,37.533,10000
3.6492,37.2936,11000
3.64727,37.1623,12000
3.66629,37.3215,13000
3.64876,37.1767,14000
3.6454,37.2196,15000
3.64522,37.3181,16000
3.67148,37.82,17000
3.68261,38.0273,18000
3.65815,37.78,19000
3.64498,37.5258,20000
3.63773,37.5616,21000
3.64341,37.8737,22000
3.63763,37.7904,23000
3.62727,37.7044,24000
3.60443,37.3924,25000
