meanPrice, var, nbSimul
3.92679,41.2647,1000
3.51112,37.3935,1500
3.64975,39.7174,2000
3.84279,39.6132,2500
3.57005,37.2317,3000
3.5722,34.3239,3500
3.68541,40.7115,4000
3.76046,40.1285,4500
3.67078,37.444,5000
3.79557,40.7877,5500
3.77744,41.1625,6000
3.68404,38.4229,6500
3.70654,37.7306,7000
3.61493,37.9484,7500
3.68997,39.3445,8000
3.62989,36.9354,8500
3.56808,37.0805,9000
3.62983,37.9537,9500
3.59748,37.969,10000
3.66565,39.7507,10500
3.82935,40.8408,11000
3.74674,39.9332,11500
3.60535,37.1826,12000
3.67674,38.5798,12500
3.62407,37.8601,13000
3.71578,37.4726,13500
3.61585,38.3455,14000
3.70885,38.9514,14500
3.66268,37.4454,15000
3.62684,37.7149,15500
3.71709,38.2563,16000
3.63571,37.9035,16500
3.62258,37.2823,17000
3.69112,38.5257,17500
3.64392,38.2718,18000
3.65575,38.5603,18500
3.71655,38.8622,19000
3.72885,39.3007,19500
3.59458,37.2732,20000
3.66832,38.6662,20500
3.54695,35.9102,21000
3.65433,38.3798,21500
3.63895,38.4581,22000
3.64312,37.5322,22500
3.6853,38.283,23000
3.62559,38.3487,23500
3.60121,37.6318,24000
3.72312,39.4148,24500
3.73115,39.2376,25000
