meanPrice, var, nbSimul
3.69781,0.487013,1000
3.67391,0.482679,1500
3.65968,0.475548,2000
3.70195,0.488143,2500
3.66907,0.4444,3000
3.68913,0.484992,3500
3.67522,0.469529,4000
3.67585,0.472433,4500
3.67902,0.463697,5000
3.68096,0.466675,5500
3.67801,0.472615,6000
3.67699,0.460874,6500
3.67625,0.459067,7000
3.67633,0.462956,7500
3.6805,0.473437,8000
3.66949,0.454166,8500
3.66106,0.461153,9000
3.66876,0.453246,9500
3.65869,0.451579,10000
3.68189,0.490399,10500
3.69071,0.479453,11000
3.6741,0.455963,11500
3.67817,0.466751,12000
3.67421,0.453295,12500
3.67565,0.471285,13000
3.67945,0.460341,13500
3.66963,0.461657,14000
3.67787,0.467747,14500
3.68123,0.473803,15000
3.67051,0.466197,15500
3.68644,0.476858,16000
3.67382,0.469619,16500
3.67255,0.460413,17000
3.6823,0.475323,17500
3.67293,0.464876,18000
3.67639,0.469313,18500
3.68212,0.469948,19000
3.67144,0.46275,19500
3.67199,0.467735,20000
3.67424,0.467878,20500
3.67149,0.462874,21000
3.67009,0.460702,21500
3.67267,0.472631,22000
3.68031,0.467318,22500
3.68037,0.475118,23000
3.67134,0.46679,23500
3.6734,0.468045,24000
3.68272,0.478309,24500
3.68187,0.47924,25000
